sweep,dataset,model,constraint_tag,data_dir,constrained_class,seed,tight_L_pct,tight_G_pct,is_asymmetric,sigma,tralo_macro_f1,heuristic_macro_f1,d_macro_f1,d_f1_cstr,d_f1_unc,d_acc,d_flips,d_ece,tralo_sat,heuristic_sat,tralo_path,heuristic_path
contamination_tissuemnist,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist_sigma10/slice_1,4,1,70,70,0,0.1,0.3883,0.3743,0.013999999999999957,0.041200000000000014,0.01015714285714292,0.00869999999999993,-164.0,-0.016500000000000015,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L70_G70/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma10/L70_G70/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist_sigma10/slice_1,4,2,70,70,0,0.1,0.3868,0.3483,0.03849999999999998,0.06190000000000001,0.03515714285714289,0.0484,-4.0,-0.03390000000000004,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L70_G70/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma10/L70_G70/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist_sigma10/slice_1,4,1,30,30,0,0.1,0.3748,0.3668,0.008000000000000007,0.03610000000000002,0.0040142857142858035,0.0032999999999999696,-234.0,-0.006500000000000006,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L30_G30/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma10/L30_G30/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist_sigma10/slice_1,4,2,30,30,0,0.1,0.3629,0.3373,0.02560000000000001,0.017999999999999988,0.0265999999999999,0.03589999999999999,-75.0,-0.017699999999999994,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L30_G30/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma10/L30_G30/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist_sigma10/slice_1,4,1,50,50,0,0.1,0.3767,0.3775,-0.0008000000000000229,0.007799999999999974,-0.001957142857142935,-0.0041999999999999815,-196.0,-0.0047000000000000375,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L50_G50/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma10/L50_G50/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist_sigma10/slice_1,4,2,50,50,0,0.1,0.3802,0.3482,0.03199999999999997,0.023400000000000004,0.033242857142857185,0.04420000000000002,-41.0,-0.03090000000000004,1,0,results/pending_runs/contamination_tissuemnist/sigma10/L50_G50/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma10/L50_G50/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist_sigma30/slice_1,4,1,20,20,0,0.3,0.3367,0.3276,0.009099999999999997,-0.03900000000000001,0.016000000000000014,0.060399999999999954,-113.0,-0.04089999999999999,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L20_G20/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma30/L20_G20/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L20_G20,data/tissuemnist_sigma30/slice_1,4,2,20,20,0,0.3,0.3369,0.3333,0.003599999999999992,0.009700000000000014,0.0026428571428572245,0.013800000000000034,-58.0,-0.006500000000000006,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L20_G20/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma30/L20_G20/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist_sigma30/slice_1,4,1,70,70,0,0.3,0.3584,0.3464,0.01200000000000001,-0.06190000000000001,0.022528571428571342,0.060799999999999965,-19.0,-0.0489,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L70_G70/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma30/L70_G70/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L70_G70,data/tissuemnist_sigma30/slice_1,4,2,70,70,0,0.3,0.3532,0.3497,0.003500000000000003,-0.020600000000000007,0.006942857142857084,0.0011999999999999789,-17.0,-0.0030000000000000027,1,1,results/pending_runs/contamination_tissuemnist/sigma30/L70_G70/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma30/L70_G70/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist_sigma30/slice_1,4,1,30,30,0,0.3,0.3413,0.3332,0.008099999999999996,-0.05399999999999999,0.01694285714285726,0.05249999999999999,-95.0,-0.041200000000000014,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L30_G30/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma30/L30_G30/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L30_G30,data/tissuemnist_sigma30/slice_1,4,2,30,30,0,0.3,0.3495,0.3426,0.006899999999999962,-0.017999999999999988,0.010371428571428476,0.007099999999999995,-41.0,-0.007699999999999985,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L30_G30/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma30/L30_G30/heuristic/seed_2
contamination_tissuemnist,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist_sigma30/slice_1,4,1,50,50,0,0.3,0.3491,0.3421,0.007000000000000006,-0.09339999999999998,0.02131428571428573,0.0529,-62.0,-0.05009999999999998,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L50_G50/tralo/seed_1,results/pending_runs/contamination_tissuemnist/sigma30/L50_G50/heuristic/seed_1
contamination_tissuemnist,tissuemnist,MobileNetV3,L50_G50,data/tissuemnist_sigma30/slice_1,4,2,50,50,0,0.3,0.3432,0.3494,-0.006199999999999983,-0.007799999999999974,-0.005957142857142883,0.0007999999999999674,2.0,-0.002599999999999991,1,0,results/pending_runs/contamination_tissuemnist/sigma30/L50_G50/tralo/seed_2,results/pending_runs/contamination_tissuemnist/sigma30/L50_G50/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L20_G20,data/dermmnist_sigma20/slice_1,4,1,20,20,0,0.2,0.4542,0.442,0.012199999999999989,0.014999999999999986,0.011783333333333312,0.008499999999999952,-79.0,0.005399999999999988,1,0,results/pending_runs/contamination_dermmnist/sigma20/L20_G20/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma20/L20_G20/heuristic/seed_1
contamination_dermmnist,dermmnist,MobileNetV3,L20_G20,data/dermmnist_sigma20/slice_1,4,2,20,20,0,0.2,0.4579,0.4821,-0.0242,0.0,-0.028266666666666662,0.0039999999999998925,-87.0,0.011300000000000004,1,0,results/pending_runs/contamination_dermmnist/sigma20/L20_G20/tralo/seed_2,results/pending_runs/contamination_dermmnist/sigma20/L20_G20/heuristic/seed_2
contamination_dermmnist,dermmnist,MobileNetV3,L70_G70,data/dermmnist_sigma20/slice_1,4,1,70,70,0,0.2,0.4889,0.4705,0.018400000000000027,0.021100000000000008,0.017916666666666747,0.007499999999999951,-31.0,-0.004200000000000009,1,1,results/pending_runs/contamination_dermmnist/sigma20/L70_G70/tralo/seed_1,results/pending_runs/contamination_dermmnist/sigma20/L70_G70/heuristic/seed_1
