block,subblock,dataset,model,constraint_tag,method,seed,constrained_class,group_column,warmup_epochs,cc_f1,cc_recall,cc_prec,cc_support,f1_macro,accuracy,ece,flips,satisfied,total_excess,sat_epoch,disable_freeze,reset_opt,alpha_kl,rho_target,fioretto_step_size,hounie_eta_lambda,ce_nan,max_lambda_g,n_log_epochs
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L40_G40,hounie_rcl,1,2,synth_group,50,0.4075,0.26,0.942,250.0,0.7009,0.735,0.2261,0.0,1.0,0.0,27.0,,,,,,0.05,True,,31
C_fairness,hounie_eta_0p05,octmnist,MobileNetV3,L40_G40,hounie_rcl,2,2,synth_group,50,0.3718,0.232,0.9355,250.0,0.6859,0.724,0.224,0.0,1.0,0.0,25.0,,,,,,0.05,True,,29
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,4,4,loc_group,50,0.3209,0.1928,0.9556,223.0,0.7146,0.8318,0.1418,0.0,1.0,0.0,26.0,,,,,0.001,,True,2.374994,30
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,3,4,loc_group,50,0.3134,0.1883,0.9333,223.0,0.7184,0.8402,0.1303,2.0,0.0,2.0,,,,,,0.001,,True,2.997074,300
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,1,4,loc_group,50,0.3071,0.1839,0.9318,223.0,0.686,0.8238,0.1468,0.0,1.0,0.0,30.0,,,,,0.001,,True,2.86876,34
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G20,fioretto_ldf,2,4,loc_group,50,0.2738,0.1614,0.9,223.0,0.7011,0.8298,0.1439,0.0,1.0,0.0,25.0,,,,,0.001,,True,2.416372,29
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,4,4,loc_group,50,0.3944,0.2511,0.918,223.0,0.7247,0.8407,0.1328,0.0,1.0,0.0,24.0,,,,,0.001,,True,1.845356,28
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,3,4,loc_group,50,0.4083,0.2646,0.8939,223.0,0.7347,0.8477,0.1245,0.0,1.0,0.0,27.0,,,,,0.001,,True,2.390719,31
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,1,4,loc_group,50,0.4126,0.2646,0.9365,223.0,0.7087,0.8387,0.1327,0.0,1.0,0.0,26.0,,,,,0.001,,True,2.184119,30
C_fairness,fioretto_step_0p001,dermmnist,MobileNetV3,L50_G30,fioretto_ldf,2,4,loc_group,50,0.4,0.2556,0.9194,223.0,0.7253,0.8412,0.1326,0.0,1.0,0.0,23.0,,,,,0.001,,True,1.863953,27
